g,c,chimera_nb,nb_sequence,nb_base,m_NGA50,m_tt_length,m_nb_contig,m_indels_per_100kb,m_mismatchs_per_100kb,w_NGA50,w_tt_length,w_nb_contig,w_indels_per_100kb,w_mismatchs_per_100kb
50,1,12010,403204,1909314553,0,104868,20,"5591,62","6704,54",0,"8536,17",693,"2594,28",8
50,2,12007,381016,1903164351,0,89074,19,"5591,62","6704,54",0,"8536,17",1182,"2594,28",8
50,3,12007,377486,1902091512,0,104618,20,"5591,62","6704,54",0,"8536,17",695,"2594,28",8
50,4,12007,376325,1901768847,0,105500,21,"5591,62","6704,54",0,"8536,17",781,"2594,28",8
50,5,12007,375908,1901645551,0,105750,21,"5591,62","6704,54",0,"8341,28",1299,"2471,07",3
50,6,12007,375754,1901595140,0,107894,22,"5591,62","6704,54",0,"8535,48",651,"2595,5",8
50,7,12007,375639,1901559235,0,92350,21,"5591,62","6704,54",0,"8536,59",586,"2593,92",8
50,8,12007,375616,1901546264,0,107012,21,"5591,62","6704,54",0,"8543,02",810,"2591,51",8
50,9,12007,375574,1901538094,0,107894,22,"5591,62","6704,54",0,"8535,48",2230,"2595,5",8
50,10,12007,375557,1901530677,0,105750,21,"5591,62","6704,54",0,"8542,96",373,"2590,72",8
50,11,12007,375547,1901528016,0,105551,21,"5591,62","6704,54",0,"8536,17",688,"2594,28",8
50,12,12007,375533,1901525725,0,104868,20,"5591,62","6704,54",0,"8535,48",411,"2595,5",8
50,13,12007,375533,1901525571,0,104868,20,"5591,62","6704,54",0,"8537,28",787,"2592,7",8
50,14,12007,375534,1901524463,0,103356,20,"5591,62","6704,54",0,"8342,72",842,"2470,65",3
50,15,12007,375535,1901523760,0,103356,20,"5591,62","6704,54",0,"8542,96",473,"2590,72",8
150,1,6393,1975531,3728464363,0,44009798,2008,"5609,78","3174,84",0,119301083,802,"4264,36","1446,29"
150,2,5603,1694341,3109673467,0,24236184,1283,"5521,48","3094,79",0,86901653,705,"4398,24","1577,41"
150,3,5356,1414351,2587877366,0,12276259,689,"5419,88","3027,37",0,63630357,1258,"4700,3","1913,66"
150,4,5172,1160558,2211732124,0,6502881,393,"5391,27","3025,56",0,45410375,456,"5072,46","2314,59"
150,5,5051,950653,1923879010,0,3615461,237,"5383,34","3000,78",0,29898919,764,"5294,44","2574,17"
150,6,4984,779533,1707952968,0,1799550,112,"5440,65","3055,42",0,19541448,523,"5338,36","2828,21"
150,7,4924,644794,1548481676,0,1118508,73,"5474,64","3213,75",0,10789990,534,"5398,46","2755,9"
150,8,4910,539764,1433108796,0,790052,47,"5561,05","3346,95",0,"5432,78",476,"2871,12",63
150,9,4892,459341,1350481842,0,550006,31,"5594,57","3522,99",0,"5408,42",593,"2854,08",30
150,10,4881,399836,1290221425,0,465453,29,"5569,87","3348,56",0,"5332,62",523,"2821,17",33
150,11,4875,354017,1247140022,0,442599,32,"5670,52","3402,71",0,"5346,1",745,"2955,3",38
150,12,4867,320537,1216188600,0,296120,24,"5377,65","3249,21",0,"5158,6",264,"2742,92",25
150,13,4863,294746,1193826377,0,255115,24,"5452,95","3265,26",0,"5443,87",922,"3019,77",18
150,14,4859,275502,1177526639,0,206418,21,"5469,97","3271,69",0,"5654,22",677,"3141,07",18
150,15,4857,261034,1165680183,0,140878,14,"5561,16","3620,46",0,"6003,85",477,"3732,58",15
250,1,7540,1414851,5258688579,67057,179163226,2316,"6070,35","3585,58",253176,203409243,470,3511,"536,7"
250,2,5578,1417951,4836806870,33124,155252793,2925,"5983,26","3505,84",109382,194953105,481,"3588,18","639,5"
250,3,4821,1396997,4412538910,15491,130243924,2968,"5902,25","3432,76",56757,183463304,685,"3670,24","748,77"
250,4,4394,1352119,4041022092,0,107008671,2804,"5836,3","3378,22",30693,171578430,4722,"3773,42","897,84"
250,5,4142,1293395,3694231199,0,86523559,2532,"5780,88","3325,74",15814,154753229,802,"3815,57","951,15"
250,6,3973,1222343,3374894142,0,68771253,2212,"5724,48","3282,49",5183,138837958,561,"3893,5","1041,85"
250,7,3773,1142748,3071689184,0,53887515,1892,"5683,17","3250,38",0,122181028,785,"3965,96","1142,04"
250,8,3663,1063042,2795956308,0,40389704,1543,"5642,45","3220,84",0,105864801,1387,"4042,7","1238,31"
250,9,3547,978732,2539933420,0,29113234,1165,"5616,99","3208,1",0,89720340,565,"4136,83","1354,25"
250,10,3465,895723,2307068446,0,21221705,912,"5598,48","3178,52",0,73816275,775,"4208,65","1445,16"
250,11,3431,812413,2097689390,0,15190721,691,"5547,97","3154,31",0,59863031,624,"4299,92","1554,94"
250,12,3352,733665,1912125743,0,10053208,469,"5535,98","3158,33",0,52896865,485,"4642,84","2158,57"
250,13,3312,657869,1748543650,0,6845796,318,"5504,77","3162,78",0,37351797,3751,"4599,88","1897,66"
250,14,3296,587908,1608099929,0,4501478,197,"5518,61","3179,11",0,29355289,436,"4802,22","2101,12"
250,15,3269,523158,1488137294,0,3493099,153,"5603,15","3276,33",0,22769266,438,"5043,97","2373,11"
350,1,8323,1167046,5922411385,483473,203059788,430,"6305,24","3825,19",1487257,211321218,458,"3362,15","332,14"
350,2,6308,1161166,5666465748,332810,200331928,740,"6246,47","3760,87",1039329,209904538,2114,"3360,87","353,58"
350,3,5324,1156144,5393685430,190023,196691390,1116,"6193,99","3706,66",725928,208167646,2838,"3374,01","386,15"
350,4,4617,1148176,5153513907,127406,190287416,1526,"6139,28","3659,43",493490,205300183,695,"3393,82","423,22"
350,5,4126,1141420,4916628067,83395,180740312,1922,"6082,77","3600,8",297865,202166046,699,"3430,2","479,69"
350,6,3831,1131278,4678553232,57272,169045926,2260,"6027,22","3547,81",190913,197920553,5899,"3468,75","539,81"
350,7,3558,1117951,4440450401,39864,155402178,2481,"5973,03","3503,97",116253,193413205,492,"3530,96","630,25"
350,8,3400,1102427,4197793191,26297,140226857,2624,"5917,15","3453,97",78781,185978983,421,"3577,65","696,98"
350,9,3274,1082302,3947568588,0,124994430,2700,"5869,89","3412,24",51236,175783144,548,"3623,36","747,76"
350,10,3103,1056457,3694469382,0,107216781,2619,"5829,83","3375,9",30817,164146899,517,"3672,89","819,3"
350,11,3008,1023768,3437486430,0,89868303,2394,"5785,56",3342,16745,150998718,412,"3733,74","903,37"
350,12,2902,983865,3179248467,0,73141373,2164,"5759,5","3315,37",4555,135885968,2609,"3782,32","968,26"
350,13,2807,936019,2920119746,0,58615241,1897,"5719,99","3282,81",0,119931025,1892,"3850,15","1049,99"
350,14,2751,879592,2670142434,0,44810994,1568,"5680,53","3257,82",0,104044157,674,"3907,68","1118,87"
350,15,2677,818697,2425844937,0,33072052,1228,"5671,42","3255,82",0,87933285,520,"3987,28","1207,42"
450,1,8608,1094850,6189796173,508021,203765273,225,"6418,91","3946,23",1670094,204284850,500,"3411,92","317,06"
450,2,6536,1084769,6010305061,552782,203630002,271,"6386,16","3909,64",1713003,211101166,621,"3371,5","310,92"
450,3,5768,1074916,5815166433,487695,202840218,375,"6345,74","3868,71",1470860,203841308,464,"3373,8",320
450,4,5047,1062765,5642054289,378329,201256447,532,"6304,37","3827,01",1459555,210284192,609,"3353,55","328,18"
450,5,4396,1052438,5476238217,315275,199269263,735,"6269,17","3790,19",922708,208538730,494,"3347,13","339,72"
450,6,3964,1044599,5312498915,234602,196300614,972,"6226,42","3746,88",729729,206910616,395,"3349,39","358,11"
450,7,3613,1036141,5143647769,165699,192282487,1271,"6192,47","3713,34",522894,205767800,3130,"3369,5","395,11"
450,8,3353,1029550,4969786419,110477,185591500,1576,"6143,52","3666,64",349974,202900325,731,"3382,86","426,05"
450,9,3205,1022802,4786323799,83833,177276902,1827,"6094,62","3620,97",243543,199849710,404,"3407,38","468,95"
450,10,3030,1017501,4590287314,57813,167005722,2132,"6049,35","3580,87",161349,195479649,1389,"3441,34","523,46"
450,11,2896,1008753,4378038412,41478,155381011,2380,"6002,26","3537,46",96104,189031848,1327,"3470,17","570,37"
450,12,2748,997674,4149224146,27603,141170650,2514,"5949,92","3490,02",65732,180910259,428,"3504,81","622,39"
450,13,2621,982589,3908585672,0,124753189,2598,"5907,19","3453,44",43134,171359510,802,"3549,49","684,89"
450,14,2538,962113,3649937970,0,106392236,2551,"5859,69","3416,63",25423,158546472,1830,"3598,13","745,86"
450,15,2456,932984,3379587796,0,89117638,2384,"5818,28","3386,29",12235,144368983,436,"3651,19","816,74"
550,1,8819,1066435,6327227692,292489,203526661,171,"6463,65","4000,09",1932560,211732088,674,"3429,96","300,64"
550,2,6602,1055119,6183701859,412920,203693034,199,"6447,6","3982,71",1646678,211986284,425,"3413,37","307,51"
550,3,6020,1045548,6034248645,461896,203083763,222,"6421,88","3953,09",1698278,212853684,679,"3398,15","311,77"
550,4,5408,1033441,5894608166,497172,203077177,296,"6400,74","3929,9",1743664,210829698,433,"3371,74","300,69"
550,5,4734,1021261,5760860300,462186,202687562,370,"6376,67","3901,41",1528268,210215563,997,"3359,4","305,74"
550,6,4192,1010606,5631278039,409987,201408486,499,"6349,6","3869,75",1085594,203058999,770,"3352,49","306,56"
550,7,3736,1000609,5497449546,328348,199015703,635,"6308,49","3832,36",958287,207275541,554,"3343,1","314,47"
550,8,3441,994022,5367228282,241459,196799115,879,"6275,34","3801,24",684245,206691741,457,"3344,72","333,52"
550,9,3166,987693,5222937806,173693,193396337,1126,"6238,88","3764,63",523119,204982619,502,"3346,82","355,51"
550,10,2992,984558,5071432856,127820,188116681,1432,"6201,02","3722,64",354699,202753272,554,"3358,16","385,6"
550,11,2828,980337,4899669031,91153,180255314,1740,"6161,56","3686,41",233756,199969825,1813,3380,"425,8"
550,12,2673,975468,4712383063,64592,169847148,2016,"6117,46","3643,31",150945,195405817,1820,"3396,59","461,56"
550,13,2546,969857,4504124941,46511,158252685,2267,"6064,06","3603,9",93383,189055192,449,"3426,36","509,84"
550,14,2436,963093,4269955472,30330,142314544,2432,"6017,65","3565,81",63536,180688307,366,"3455,41","555,79"
550,15,2319,951434,4013656726,8964,126280514,2572,"5966,96","3517,13",39139,169907716,400,"3494,47","610,71"
650,1,9114,1052187,6408697534,214045,202904200,168,"6489,34","4025,59",1773898,212999399,421,"3456,11","298,82"
650,2,6764,1040044,6289664736,254698,203217350,170,"6478,65","4012,6",1550052,210507619,423,"3434,19","295,26"
650,3,6265,1030768,6165351552,314981,203705647,184,"6463,59","4000,09",1570540,211850349,1345,"3418,64","297,03"
650,4,5690,1021884,6048007397,411134,203463848,219,"6451,24","3985,03",1532840,212133319,934,"3407,61","299,94"
650,5,5037,1008789,5928624585,400429,203186168,265,"6437,49","3968,75",1592389,211059852,436,"3383,69","293,53"
650,6,4415,995564,5819268659,444757,202431923,308,"6418,1","3946,19",1492713,209896275,745,"3369,67","289,75"
650,7,3939,985447,5710437984,385069,201480135,425,"6395,8","3919,88",1322533,208560683,1103,"3357,35","288,81"
650,8,3580,975479,5599337901,316373,199677810,535,"6362,08","3888,09",1069304,207115181,593,"3345,47","291,77"
650,9,3340,969340,5486659975,270167,197633013,740,"6330,19","3854,84",788851,206828588,699,"3340,4","306,14"
650,10,3135,965761,5359838785,196728,194877422,982,"6298,62","3826,25",539302,205221987,3764,"3344,25","326,01"
650,11,2957,962571,5218719455,151530,190429836,1262,"6257,25","3788,43",343967,203733011,465,"3348,21","350,63"
650,12,2749,959557,5062191348,102716,183501185,1571,"6232,14","3757,13",241793,200871644,419,"3358,01","381,15"
650,13,2570,957861,4882367459,73838,174818120,1915,"6180,65","3711,41",149572,196324640,3317,"3378,03","421,4"
650,14,2447,954848,4673257381,51773,163452216,2236,"6135,22","3671,28",94130,190055502,566,"3392,51","450,04"
650,15,2325,949648,4437772415,34378,147500879,2423,"6092,44","3635,48",64113,182049246,1101,"3423,46","494,5"
750,1,9482,1045195,6466602735,176500,202847549,168,"6505,15","4043,07",1637103,212191886,685,"3466,63","287,6"
750,2,6918,1032619,6357632928,202732,203048962,171,"6496,89","4034,8",1525439,205068582,929,"3470,45",295
750,3,6411,1023942,6248918470,242947,203372524,183,"6485,28","4022,65",1588086,212038807,492,"3441,09","294,76"
750,4,5859,1014849,6141280162,286437,203198314,183,"6474,5","4007,93",1666336,209652592,1977,"3430,44","295,77"
750,5,5152,1002760,6039197470,320383,202999472,206,"6460,89","3996,21",1710168,207165531,802,"3416,04","290,12"
750,6,4536,989322,5939052566,353679,202658828,247,"6450,09","3981,26",1611895,209516211,583,"3398,75","287,87"
750,7,4062,978610,5843754151,358812,202201584,302,"6432,63","3962,98",1430854,208268816,689,"3372,06","274,57"
750,8,3686,967614,5746702336,349458,201146111,400,"6416,37",3945,1172878,208046348,462,"3363,36","277,91"
750,9,3453,959785,5649072311,278844,199307245,545,"6393,94","3921,05",1001638,207233012,658,"3349,41","280,61"
750,10,3223,955279,5541287862,238591,197522914,744,"6362,91","3892,1",696583,206598603,574,"3349,99","296,82"
750,11,2990,952095,5422036927,185232,194416102,997,"6331,44","3859,04",445042,205082030,151,"3343,95","312,66"
750,12,2800,949352,5283668821,131480,188926675,1305,"6296,31","3826,48",300675,202500695,1303,"3348,51","333,35"
750,13,2596,948466,5126671140,93917,181412462,1605,"6256,41","3787,22",192517,199448292,543,"3357,12","361,76"
750,14,2446,948851,4940230262,67804,172173110,1954,"6224,47","3758,3",123774,194328009,706,"3372,16","392,53"
750,15,2316,947801,4721766767,46177,159896520,2265,"6173,78","3718,35",83804,187934765,507,"3397,4","433,65"
850,1,9895,1040964,6509907838,144627,202858818,188,"6517,79","4059,13",1932201,204997054,1494,"3500,55","297,28"
850,2,7113,1028317,6407596808,171248,202878807,175,"6504,2","4043,95",1862624,211865274,698,"3468,94","291,78"
850,3,6575,1020013,6310079699,191165,202990484,167,"6498,97","4036,73",1630575,210981949,497,"3458,93","293,61"
850,4,6059,1011699,6214123994,224619,202997251,174,"6489,11","4024,7",1614695,212108061,637,"3442,33","292,13"
850,5,5322,999981,6116917285,250316,202704334,197,"6483,69","4018,82",1713426,211261778,2579,"3428,29","288,24"
850,6,4631,986261,6023851143,266030,202588893,224,"6470,6","4005,89",1488762,210395546,13,"3416,02","283,69"
850,7,4156,975048,5938770030,287600,202337525,260,"6455,89","3989,47",1705635,209431365,699,"3395,04","271,75"
850,8,3734,964154,5851503768,289239,201569010,332,"6445,83","3979,08",1244623,208150307,472,"3377,8","268,42"
850,9,3513,955677,5762509639,260677,200233239,456,"6424,06","3956,99",1064500,207467442,1319,"3365,18","271,36"
850,10,3318,950680,5667067501,245069,198559059,599,"6407,87","3938,01",736280,206391994,417,"3357,76","277,5"
850,11,3085,946517,5559570992,201391,196220464,835,"6373,34","3904,7",516710,205228982,467,"3355,44","293,16"
850,12,2850,943250,5437083825,147261,191831395,1105,"6344,65","3873,91",338239,203239240,522,"3355,93","311,99"
850,13,2638,941767,5292799943,106575,186128082,1430,"6314,46","3845,8",226934,200631623,724,"3358,86","332,22"
850,14,2464,943134,5122052952,78802,177292377,1767,"6272,69","3807,05",147665,196471386,1078,"3366,17","357,7"
850,15,2314,944944,4922013920,54133,165508829,2079,"6228,56","3773,12",95202,190958482,397,"3377,95","386,04"
950,1,10372,1039064,6545219356,132026,202303073,166,"6520,7","4058,61",1857406,212630409,496,"3503,36","303,81"
950,2,7355,1026025,6446639816,141780,202626593,168,"6514,66","4053,85",1704340,211412979,693,"3479,06","288,99"
950,3,6792,1017675,6355699531,163475,203161735,187,"6512,38",4051,1776109,210680797,666,"3468,81","290,01"
950,4,6216,1009889,6265525135,190722,203289761,189,"6506,55","4043,55",1563278,211827443,4632,"3456,64","292,41"
950,5,5495,998790,6173879617,211217,202647476,194,"6495,15","4033,27",1714577,211759061,552,"3445,36","289,52"
950,6,4837,985184,6087308440,229487,202634858,215,"6489,06","4024,47",1595282,211173016,494,"3430,62","282,29"
950,7,4267,973204,6006584137,249764,202264747,232,"6478,23","4013,45",1639613,209816951,2952,"3409,63","268,57"
950,8,3836,962214,5925609466,250299,201929069,293,"6467,96","4001,57",1370125,208460972,3835,"3396,65","266,37"
950,9,3583,953911,5847213034,244445,201241625,386,"6455,87","3986,04",1131677,207249202,764,"3380,21","262,66"
950,10,3368,947937,5758682705,226081,199229106,542,"6431,46","3962,27",759315,206544881,1014,"3373,83","269,19"
950,11,3146,943776,5662197605,200272,196535352,725,"6409,07","3939,54",557021,205280450,505,"3367,16","280,52"
950,12,2914,941465,5546409440,159651,193559192,988,"6381,58","3914,07",366571,204158301,493,"3363,09","292,88"
950,13,2651,938830,5413249978,114565,187865674,1296,"6354,29","3886,76",249174,201840885,760,"3365,79","316,46"
950,14,2505,939588,5254786058,84300,180375971,1638,"6318,45","3848,58",160195,197784353,520,"3366,99","334,39"
950,15,2353,942040,5063126498,59436,169726676,1987,"6277,77","3818,29",102150,192698502,542,"3377,48","363,81"
1050,1,10838,1038115,6574843554,123357,202299044,169,"6527,39","4063,94",1896761,212075554,570,"3514,69","309,1"
1050,2,7603,1025255,6478628374,129424,202439387,164,"6519,72","4059,66",1664687,211883264,805,"3490,65","296,18"
1050,3,7015,1016553,6391416755,139819,202994640,187,"6519,37","4058,54",1657060,212258477,955,"3482,29","296,18"
1050,4,6364,1008649,6304244824,165132,203109466,185,"6511,37","4050,6",1631149,211170650,584,"3470,77","293,88"
1050,5,5653,998211,6218265609,187394,202857991,189,"6505,11","4044,29",1696283,211524694,486,"3457,24","285,68"
1050,6,4942,985519,6136926457,195748,202680447,213,"6500,19","4038,79",1734275,210338777,505,"3440,03","283,84"
1050,7,4400,973229,6059828441,215730,202258153,225,"6488,85","4025,11",1479676,209910003,1507,"3431,17","276,51"
1050,8,3961,961931,5984617816,227105,201441269,256,"6479,54","4014,08",1331568,208684510,1930,"3410,74","264,34"
1050,9,3633,953690,5909749853,221480,201183010,350,"6466,47","3999,46",1068404,207679818,1824,"3400,15","263,34"
1050,10,3446,947050,5825780134,207402,199600485,491,"6451,9","3984,34",796634,206865460,392,"3386,98","265,25"
1050,11,3196,942593,5734999826,188948,196956145,654,"6430,16","3965,94",563940,205257797,1905,3380,"273,26"
1050,12,2958,939381,5627230865,155158,194090013,920,"6405,93","3939,07",407298,204665156,1060,"3372,34","285,48"
1050,13,2705,937453,5502077269,112874,189058226,1241,"6381,19","3912,57",263258,202360872,1980,"3374,65","304,04"
1050,14,2566,937952,5351418251,86124,182491132,1569,"6343,27","3875,65",174212,198842082,532,"3377,51","322,73"
1050,15,2370,940397,5167450666,62798,172518905,1902,"6312,29","3852,52",109698,194073201,1803,"3385,41","347,22"
1150,1,11276,1037510,6600972954,117427,202220022,168,"6532,73","4069,09",1896445,214261199,519,"3537,62","329,29"
1150,2,7942,1025153,6505914839,126065,202461918,167,"6527,74","4064,83",1654943,212829268,2322,"3510,11","308,21"
1150,3,7248,1016530,6421130234,132908,202845118,175,6524,"4062,83",1613754,211608521,1929,"3487,65","295,31"
1150,4,6600,1008246,6336277457,150383,202866852,187,"6522,21","4061,58",1321640,205489486,524,"3490,1","294,36"
1150,5,5794,997958,6251957307,163379,202793158,185,"6511,25","4049,29",1698083,211785888,501,"3469,31","290,43"
1150,6,5068,985554,6174376354,180677,202824788,200,"6510,91","4049,07",1607635,206156725,688,"3463,01","285,63"
1150,7,4494,973615,6100918380,183668,202207437,217,"6494,47","4032,9",1663377,209996499,916,"3439,89","273,89"
1150,8,4057,962466,6028816111,195521,201526869,255,"6492,18","4029,69",1122141,207596985,972,"3407,89","258,63"
1150,9,3773,953434,5957334770,204014,201282692,350,"6481,68","4017,81",898673,206687404,4311,"3399,61","262,25"
1150,10,3521,946781,5878299017,196109,199875611,446,"6468,58","3999,98",621846,205551350,2346,"3391,33","267,86"
1150,11,3232,941860,5789320674,176314,196957969,609,"6443,91","3980,33",425917,204599015,572,"3386,3","282,4"
1150,12,3004,938481,5689076664,153994,194549451,867,"6425,65","3957,42",275079,202617147,672,3383,"297,21"
1150,13,2748,936457,5569141029,115205,189781187,1162,"6405,04","3937,27",181790,199553281,687,"3382,89","313,61"
1150,14,2567,937398,5426492579,84019,183823023,1533,"6369,16","3903,29",114512,194928703,456,"3392,37","338,75"
1150,15,2399,940241,5248762688,64635,174052238,1830,"6336,97","3878,99",1775291,214691505,2795,"3548,1","335,22"
1250,1,11699,1037620,6624516636,112491,202060062,173,"6531,67","4068,36",1479866,210335089,476,"3529,28","319,27"
1250,2,8180,1025384,6529507870,121193,202454955,177,"6527,92","4065,75",1297490,204645756,808,"3519,33","308,12"
1250,3,7495,1016864,6446007155,123354,202885524,181,"6528,25","4069,03",1164270,196550300,484,"3517,27","305,62"
1250,4,6788,1008357,6363896355,138877,202712158,187,"6524,47","4064,32",1699216,211678225,511,"3477,51","289,39"
1250,5,5973,998125,6281673008,157523,202786702,193,"6515,64","4054,85",1776395,205810243,693,"3470,04","287,65"
1250,6,5203,985534,6204939858,157196,202912686,206,"6513,81","4051,12",1559695,210385639,802,"3451,73","276,43"
1250,7,4597,973708,6133919684,164860,202263097,213,"6505,45","4044,52",1452539,208966145,462,"3432,45","264,54"
1250,8,4143,962912,6063944661,179439,201607300,239,"6498,84","4036,93",1253567,208034808,1077,"3417,44","259,93"
1250,9,3885,953875,5994849129,183650,201018170,327,"6488,24","4024,45",985143,206835928,981,"3406,48","261,24"
1250,10,3593,947283,5919370168,180526,199763772,425,"6475,64","4009,54",691074,205749012,725,"3397,54","263,99"
